Player,Role,Amount,Team,Age,Year,Nation,Overseas,Mega,id,matches,Innings,Not Outs,Aggregate,Highest Score,Average,30s,50s,100s,4s,6s,Boundary %,Scoring Rate,Top Scored in Innings,Top Scored %,Overs,Balls Bowled,Wickets,3 Wickets in Innings,4 Wickets in Innings,5 Wickets in Innings,Economy Rate,Strike Rate,prog_agg,prog_avg,prog_sr,prog_bowlsr,prog_er,prog_wkts,prog_bowlavg,prog_matches,last_matches,last_inn,last_hs,last_runs,last_avg,last_sr,last_batpercent,overs,last_wkts,last_bowlavg,last_bowlsr,last_bowler,last_bowlpercent,birthyear
Saurabh Tiwary,Batsman,0.3,Mumbai Indians,28,2017,Indian,0,0,3833,93,73,21,1494,61,28.73,12,8,0,111,50,0.497991968,120.1,9,0.123287671,,,,,,,,,1224,27.82,119.53,,,0,,80,10,7,57,170,24.29,120.57,11.72,7,2,170,24.29,120.57,11.72,1989
Aaron Finch,Batsman,6.2,Kings XI Punjab,32,2018,Overseas,1,1,3845,92,90,7,2091,88,67,12,15,0,213,78,0.631276901,128.2,17,0.188888889,7.1,43,1,0,0,0,9.35,43,1603,27.64,130.43,43,9.35,1,67,65,14,13,72,299,24.92,166.11,13.41,4,1,49,24,12.25,1.33,1986
Aaron Finch,Batsman,4.4,Royal Challengers Bangalore,34,2020,Overseas,1,0,3845,92,90,7,2091,88,67,12,15,0,213,78,0.631276901,128.2,17,0.188888889,7.1,43,1,0,0,0,9.35,43,1737,26.32,130.7,43,9.35,1,67,75,14,9,46,134,16.75,134,8.53,4,1,49,24,12.25,1.33,1986
Aaron Finch,Batsman,4,Sunrisers Hyderabad,28,2014,Overseas,1,1,3845,92,90,7,2091,88,67,12,15,0,213,78,0.631276901,128.2,17,0.188888889,7.1,43,1,0,0,0,9.35,43,579,25.17,127.53,43,9.35,1,67,23,14,14,67,456,32.57,135.71,22.15,4,1,49,24,12.25,1.33,1986
Aaron Finch,Batsman,3.2,Mumbai Indians,29,2015,Overseas,1,0,3845,92,90,7,2091,88,67,12,15,0,213,78,0.631276901,128.2,17,0.188888889,7.1,43,1,0,0,0,9.35,43,888,26.12,123.85,43,9.35,1,67,36,14,13,88*,309,28.09,117.49,15.91,4,1,49,24,12.25,1.33,1986
Aaron Finch,Batsman,1,Gujarat Lions,30,2016,Overseas,1,0,3845,92,90,7,2091,88,67,12,15,0,213,78,0.631276901,128.2,17,0.188888889,7.1,43,1,0,0,0,9.35,43,911,25.31,121.47,43,9.35,1,67,39,14,3,10*,23,11.5,69.7,4.68,4,1,49,24,12.25,1.33,1986
Faf Du Plessis,Batsman,7,Royal Challengers Bangalore,38,2022,Overseas,1,1,3847,130,123,11,4133,96,,27,33,0,374,145,0.572465521,134.14,37,0.300813008,1,6,0,0,0,0,16,,2935,34.94,131.09,,16,0,,100,13,16,95*,633,45.21,138.21,23.16,1,0,,,16,,1984
Faf Du Plessis,Batsman,4.75,Chennai Super Kings,30,2014,Overseas,1,1,3847,130,123,11,4133,96,,27,33,0,374,145,0.572465521,134.14,37,0.300813008,1,6,0,0,0,0,16,,398,33.17,130.92,,16,0,,13,13,12,73,398,33.17,130.92,21.28,1,0,,,16,,1984
Faf Du Plessis,Batsman,1.6,Chennai Super Kings,34,2018,Overseas,1,1,3847,130,123,11,4133,96,,27,33,0,374,145,0.572465521,134.14,37,0.300813008,1,6,0,0,0,0,16,,1295,30.12,127.96,,16,0,,53,13,1,8,8,8,114.29,2.76,1,0,,,16,,1984
Alex Hales,Batsman,1.5,Kolkata Knight Riders,33,2022,Overseas,1,1,3887,6,6,0,148,45,24.67,3,0,0,13,6,0.594594595,125.42,1,0.166666667,,,,,,,,,148,24.67,125.42,,,0,,6,6,6,45,148,24.67,125.42,14.3,,,,,,,1989
Ajinkya Rahane,Batsman,4,Rajasthan Royals,30,2018,Indian,0,1,3889,172,159,17,4400,105,5,29,30,2,455,94,0.541818182,123.42,34,0.213836478,1,6,1,0,0,0,5,6,3057,33.59,120.59,6,5,1,5,111,8,16,60,382,25.47,118.27,15.47,1,1,5,6,5,2.38,1988
Ajinkya Rahane,Batsman,1,Kolkata Knight Riders,34,2022,Indian,0,1,3889,172,159,17,4400,105,5,29,30,2,455,94,0.541818182,123.42,34,0.213836478,1,6,1,0,0,0,5,6,3941,31.53,121.34,6,5,1,5,151,8,1,8,8,8,100,2.37,1,1,5,6,5,2.38,1988
