35,Chetan Sakariya,4.2,Delhi Capitals,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/592.png,Indian
36,Rovman Powell,2.8,Delhi Capitals,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/329.png,Overseas
37,Manish Pandey,2.4,Delhi Capitals,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/16.png,Indian
38,Mustafizur Rahman,2,Delhi Capitals,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/258.png,Overseas
39,Kuldeep Yadav,2,Delhi Capitals,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/14.png,Indian
40,Philip Salt,2,Delhi Capitals,Wicket-Keeper,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1220.png,Overseas
41,Kamlesh Nagarkoti,1.1,Delhi Capitals,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/146.png,Indian
42,Lalit Yadav,0.65,Delhi Capitals,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/538.png,Indian
43,Ishant Sharma,0.5,Delhi Capitals,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/50.png,Indian
44,Lungi Ngidi,0.5,Delhi Capitals,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/99.png,Overseas
45,Pravin Dubey,0.5,Delhi Capitals,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/548.png,Indian
46,Yash Dhull,0.5,Delhi Capitals,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/777.png,Indian
47,Ripal Patel,0.2,Delhi Capitals,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/580.png,Indian
48,Aman Khan,0.2,Delhi Capitals,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/979.png,Indian
49,Vicky Ostwal,0.2,Delhi Capitals,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/786.png,Indian
50,Sarfaraz Khan,0.2,Delhi Capitals,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/139.png,Indian
51,Hardik Pandya,15,Gujarat Titans,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/54.png,Indian
52,Rashid Khan,15,Gujarat Titans,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/218.png,Overseas
53,Rahul Tewatia,9,Gujarat Titans,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/120.png,Indian
54,Shubman Gill,8,Gujarat Titans,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/62.png,Indian
55,Mohammad Shami,6.25,Gujarat Titans,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/47.png,Indian
56,Shivam Mavi,6,Gujarat Titans,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/154.png,Indian
57,Josh Little,4.4,Gujarat Titans,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/678.png,Overseas
58,Yash Dayal,3.2,Gujarat Titans,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/978.png,Indian
59,Sai Kishore,3,Gujarat Titans,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/544.png,Indian
60,David Miller,3,Gujarat Titans,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/128.png,Overseas
61,Abhinav Manohar,2.6,Gujarat Titans,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/974.png,Indian
62,Alzarri Joseph,2.4,Gujarat Titans,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/229.png,Overseas
63,Matthew Wade,2.4,Gujarat Titans,Wicket-Keeper,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/549.png,Overseas
64,Kane Williamson,2,Gujarat Titans,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/65.png,Overseas
65,Wriddhiman Saha,1.9,Gujarat Titans,Wicket-Keeper,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/225.png,Indian
66,Jayant Yadav,1.7,Gujarat Titans,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/165.png,Indian
67,Vijay Shankar,1.4,Gujarat Titans,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/61.png,Indian
68,Srikar Bharat,1.2,Gujarat Titans,Wicket-Keeper,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/365.png,Indian
69,Mohit Sharma,0.5,Gujarat Titans,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/100.png,Indian
70,Odean Smith,0.5,Gujarat Titans,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/863.png,Overseas
71,Noor Ahmad,0.3,Gujarat Titans,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/975.png,Overseas
72,Darshan Nalkande,0.2,Gujarat Titans,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/127.png,Indian
73,Urvil Patel,0.2,Gujarat Titans,Wicket-Keeper,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1486.png,Indian
74,Sai Sudharsan,0.2,Gujarat Titans,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/976.png,Indian
75,Pradeep Sangwan,0.2,Gujarat Titans,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/977.png,Indian
76,Andre Russell,16,Kolkata Knight Riders,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/141.png,Overseas
77,Shreyas Iyer,12.25,Kolkata Knight Riders,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/12.png,Indian
78,Varun Chakaravarthy,12,Kolkata Knight Riders,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/140.png,Indian
79,Shardul Thakur,10.75,Kolkata Knight Riders,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/105.png,Indian
80,Lockie Ferguson,10,Kolkata Knight Riders,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/69.png,Overseas
81,Venkatesh Iyer,8,Kolkata Knight Riders,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/584.png,Indian
82,Nitish Rana,8,Kolkata Knight Riders,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/148.png,Indian
83,Sunil Narine,6,Kolkata Knight Riders,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/156.png,Overseas
84,Umesh Yadav,2,Kolkata Knight Riders,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/21.png,Indian
85,Shakib Al Hasan,1.5,Kolkata Knight Riders,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/222.png,Overseas
86,Tim Southee,1.5,Kolkata Knight Riders,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/77.png,Overseas
87,David Wiese,1,Kolkata Knight Riders,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/674.png,Overseas
88,Narayan Jagadeesan,0.9,Kolkata Knight Riders,Wicket-Keeper,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/97.png,Indian
89,Vaibhav Arora,0.6,Kolkata Knight Riders,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/583.png,Indian
90,Rinku Singh,0.55,Kolkata Knight Riders,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/152.png,Indian
91,Mandeep Singh,0.5,Kolkata Knight Riders,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/132.png,Indian
92,Litton Das,0.5,Kolkata Knight Riders,Wicket-Keeper,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/251.png,Overseas
93,Rahmanullah Gurbaz,0.5,Kolkata Knight Riders,Wicket-Keeper,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/641.png,Overseas
94,Suyash Sharma,0.2,Kolkata Knight Riders,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1932.png,Indian
95,Harshit Rana,0.2,Kolkata Knight Riders,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1013.png,Indian
96,Anukul Roy,0.2,Kolkata Knight Riders,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/160.png,Indian
97,Kulwant Khejroliya,0.2,Kolkata Knight Riders,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/204.png,Indian
98,KL Rahul,17,Lucknow Super Giants,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/19.png,Indian
99,Nicholas Pooran,16,Lucknow Super Giants,Wicket-Keeper,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/136.png,Overseas
100,Avesh Khan,10,Lucknow Super Giants,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/109.png,Indian
101,Marcus Stoinis,10,Lucknow Super Giants,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/23.png,Overseas
102,Krunal Pandya,8.25,Lucknow Super Giants,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/17.png,Indian
103,Mark Wood,7.5,Lucknow Super Giants,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/315.png,Overseas
104,Quinton de Kock,6.75,Lucknow Super Giants,Wicket-Keeper,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/170.png,Overseas
105,Deepak Hooda,5.75,Lucknow Super Giants,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/215.png,Indian
106,Ravi Bishnoi,4,Lucknow Super Giants,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/520.png,Indian
107,Krishnappa Gowtham,0.9,Lucknow Super Giants,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/179.png,Indian
108,Daniel Sams,0.75,Lucknow Super Giants,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/546.png,Overseas
109,Amit Mishra,0.5,Lucknow Super Giants,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/107.png,Indian
110,Jaydev Unadkat,0.5,Lucknow Super Giants,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/180.png,Indian
111,Kyle Mayers,0.5,Lucknow Super Giants,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/726.png,Overseas
112,Naveen-ul-Haq,0.5,Lucknow Super Giants,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/639.png,Overseas
113,Romario Shepherd,0.5,Lucknow Super Giants,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/371.png,Overseas
114,Yash Thakur,0.45,Lucknow Super Giants,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1550.png,Indian
115,Mohsin Khan,0.2,Lucknow Super Giants,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/541.png,Indian
116,Ayush Badoni,0.2,Lucknow Super Giants,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/985.png,Indian
117,Karan Sharma,0.2,Lucknow Super Giants,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/986.png,Indian
118,Yudhvir Singh,0.2,Lucknow Super Giants,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/587.png,Indian
119,Mayank Yadav,0.2,Lucknow Super Giants,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/987.png,Indian
120,Prerak Mankad,0.2,Lucknow Super Giants,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/998.png,Indian
121,Swapnil Singh,0.2,Lucknow Super Giants,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1483.png,Indian
122,Manan Vohra,0.2,Lucknow Super Giants,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/185.png,Indian
123,Cameron Green,17.5,Mumbai Indians,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/550.png,Overseas
124,Rohit Sharma,16,Mumbai Indians,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/6.png,Indian
125,Ishan Kishan,15.25,Mumbai Indians,Wicket-Keeper,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/164.png,Indian
126,Jasprit Bumrah,12,Mumbai Indians,Bowler,https://www.iplt20.com/assets/images/default-headshot.png,Indian
127,Tim David,8.25,Mumbai Indians,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/636.png,Overseas
128,Jofra Archer,8,Mumbai Indians,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/181.png,Overseas
129,Suryakumar Yadav,8,Mumbai Indians,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/174.png,Indian
130,Dewald Brevis,3,Mumbai Indians,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/797.png,Overseas
131,Tilak Varma,1.7,Mumbai Indians,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/993.png,Indian
132,Jhye Richardson,1.5,Mumbai Indians,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/59.png,Overseas
133,Jason Behrendorff,0.75,Mumbai Indians,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/4.png,Overseas
134,Piyush Chawla,0.5,Mumbai Indians,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/149.png,Indian
135,Arjun Tendulkar,0.3,Mumbai Indians,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/585.png,Indian
136,Kumar Kartikeya,0.2,Mumbai Indians,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1015.png,Indian
137,Duan Jansen,0.2,Mumbai Indians,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1227.png,Overseas
138,Arshad Khan,0.2,Mumbai Indians,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/988.png,Indian
139,Hrithik Shokeen,0.2,Mumbai Indians,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/992.png,Indian
140,Akash Madhwal,0.2,Mumbai Indians,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1045.png,Indian
141,Raghav Goyal,0.2,Mumbai Indians,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1933.png,Indian
142,Tristan Stubbs,0.2,Mumbai Indians,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1017.png,Overseas
143,Nehal Wadhera,0.2,Mumbai Indians,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1541.png,Indian
144,Shams Mulani,0.2,Mumbai Indians,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/600.png,Indian
145,Ramandeep Singh,0.2,Mumbai Indians,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/991.png,Indian
146,Vishnu Vinod,0.2,Mumbai Indians,Wicket-Keeper,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/581.png,Indian
147,Sam Curran,18.5,Punjab Kings,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/138.png,Overseas
148,Liam Livingstone,11.5,Punjab Kings,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/183.png,Overseas
149,Kagiso Rabada,9.25,Punjab Kings,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/116.png,Overseas
150,Shahrukh Khan,9,Punjab Kings,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/590.png,Indian
151,Shikhar Dhawan,8.25,Punjab Kings,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/11.png,Indian
152,Jonny Bairstow,6.75,Punjab Kings,Wicket-Keeper,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/216.png,Overseas
153,Rahul Chahar,5.25,Punjab Kings,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/171.png,Indian
154,Arshdeep Singh,4,Punjab Kings,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/125.png,Indian
155,Harpreet Brar,3.8,Punjab Kings,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/130.png,Indian
156,Raj Bawa,2,Punjab Kings,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/781.png,Indian
157,Nathan Ellis,0.75,Punjab Kings,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/633.png,Indian
158,Prabhsimran Singh,0.6,Punjab Kings,Wicket-Keeper,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/137.png,Indian
159,Rishi Dhawan,0.55,Punjab Kings,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/996.png,Indian
160,Sikandar Raza,0.5,Punjab Kings,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/820.png,Overseas
161,Bhanuka Rajapaksa,0.5,Punjab Kings,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/372.png,Overseas
162,Harpreet Singh Bhatia,0.4,Punjab Kings,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1934.png,Indian
163,Atharva Taide,0.2,Punjab Kings,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1001.png,Indian
164,Mohit Rathee,0.2,Punjab Kings,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1935.png,Indian
165,Shivam Singh,0.2,Punjab Kings,All-Rounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1936.png,Indian
166,Vidhwath Kaverappa,0.2,Punjab Kings,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1564.png,Indian
167,Jitesh Sharma,0.2,Punjab Kings,Wicket-Keeper,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1000.png,Indian
168,Baltej Singh,0.2,Punjab Kings,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/994.png,Indian
169,Virat Kohli,15,Royal Challengers Bangalore,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/2.png,Indian
